description,fault
phone overheating and battery drains fast and phone stuck on logo and screen black and speaker no sound and microphone not working and screen flickering and wifi not working and bluetooth issue and water damage symptoms while charging,Display IC Issue
no mobile signal and phone stuck on logo and screen black and touch not working and speaker no sound and screen flickering and phone freezing and water damage symptoms suddenly,Display IC Issue
phone overheating and no mobile signal and battery drains fast and screen black and touch not working and speaker no sound and screen flickering since yesterday,Display IC Issue
battery drains fast and screen black and touch not working and screen flickering and wifi not working and phone freezing during use,Display IC Issue
phone overheating and no mobile signal and battery drains fast and screen black and touch not working and screen flickering and phone freezing suddenly,Display IC Issue
phone overheating and battery drains fast and phone stuck on logo and screen black and touch not working and microphone not working and screen flickering randomly,Display IC Issue
phone overheating and battery drains fast and phone stuck on logo and screen black and touch not working and screen flickering and bluetooth issue and phone freezing and water damage symptoms intermittently,Display IC Issue
battery drains fast and screen black and speaker no sound and microphone not working and screen flickering and wifi not working after restart,Display IC Issue
screen black and screen flickering and wifi not working and water damage symptoms after phone drop,Display IC Issue
phone overheating and screen black and touch not working and microphone not working and screen flickering intermittently,Display IC Issue
no mobile signal and phone stuck on logo and screen black and touch not working and speaker no sound and screen flickering and phone freezing and water damage symptoms since yesterday,Display IC Issue
